,no,code,name
0,1,005930,삼성전자
0,2,000660,SK하이닉스
0,3,207940,삼성바이오로직스
0,4,035420,NAVER
0,5,005935,삼성전자우
0,6,068270,셀트리온
0,7,051910,LG화학
0,8,006400,삼성SDI
0,9,051900,LG생활건강
0,10,005380,현대차
0,11,035720,카카오
0,12,028260,삼성물산
0,13,012330,현대모비스
0,14,017670,SK텔레콤
0,15,036570,엔씨소프트
0,16,034730,SK
0,17,005490,POSCO
0,18,055550,신한지주
0,19,015760,한국전력
0,20,018260,삼성에스디에스
0,21,105560,KB금융
0,22,000270,기아차
0,23,003550,LG
0,24,033780,KT&G
0,25,090430,아모레퍼시픽
0,26,096770,SK이노베이션
0,27,066570,LG전자
0,28,000810,삼성화재
0,29,009150,삼성전기
0,30,032830,삼성생명
0,31,251270,넷마블
0,32,010950,S-Oil
0,33,086790,하나금융지주
0,34,010130,고려아연
0,35,011170,롯데케미칼
0,36,030200,KT
0,37,032640,LG유플러스
0,38,316140,우리금융지주
0,39,009540,한국조선해양
0,40,035250,강원랜드
0,41,271560,오리온
0,42,024110,기업은행
0,43,069500,KODEX 200
0,44,018880,한온시스템
0,45,002790,아모레G
0,46,180640,한진칼
0,47,021240,코웨이
0,48,097950,CJ제일제당
0,49,088980,맥쿼리인프라
0,50,086280,현대글로비스
0,51,267250,현대중공업지주
0,52,004990,롯데지주
0,53,034220,LG디스플레이
0,54,006800,미래에셋대우
0,55,000720,현대건설
0,56,000120,CJ대한통운
0,57,078930,GS
0,58,003670,포스코케미칼
0,59,000100,유한양행
0,60,029780,삼성카드
0,61,012750,에스원
0,62,005830,DB손해보험
0,63,011070,LG이노텍
0,64,008770,호텔신라
0,65,122630,KODEX 레버리지
0,66,007070,GS리테일
0,67,139480,이마트
0,68,012510,더존비즈온
0,69,128940,한미약품
0,70,000210,대림산업
0,71,161390,한국타이어앤테크놀로지
0,72,071050,한국금융지주
0,73,102110,TIGER 200
0,74,282330,BGF리테일
0,75,005940,NH투자증권
0,76,010140,삼성중공업
0,77,004020,현대제철
0,78,036460,한국가스공사
0,79,003410,쌍용양회
0,80,000080,하이트진로
0,81,001040,CJ
0,82,016360,삼성증권
0,83,009830,한화솔루션
0,84,023530,롯데쇼핑
0,85,004170,신세계
0,86,241560,두산밥캣
0,87,047810,한국항공우주
0,88,028050,삼성엔지니어링
0,89,001450,현대해상
0,90,081660,휠라홀딩스
0,91,008560,메리츠증권
0,92,011780,금호석유
0,93,005387,현대차2우B
0,94,020150,일진머티리얼즈
0,95,007310,오뚜기
0,96,252670,KODEX 200선물인버스2X
0,97,153130,KODEX 단기채권
0,98,011790,SKC
0,99,009240,한샘
0,100,006360,GS건설
